	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
L[3,4]	0.0		0.0	0.0	0.0	0.0			
L[4,1]	-1.66e-05	0.000745	0.143	-0.292	-0.000595	0.27	36604.0	424.0	1.0
L[4,2]	0.000443	0.000767	0.143	-0.29	-0.000201	0.272	34831.0	404.0	1.0
L[4,3]	-0.00109	0.000788	0.144	-0.292	-0.000917	0.269	33258.0	386.0	1.0
L[4,4]	0.968	0.000269	0.0252	0.899	0.975	0.997	8804.0	102.0	1.0
b1[1]	12.7	0.000764	0.137	12.4	12.7	13.0	32081.0	372.0	1.0
b1[2]	0.33	0.000764	0.137	0.0494	0.329	0.588	32081.0	372.0	1.0
b1[3]	27.1	0.000764	0.137	26.9	27.1	27.4	32081.0	372.0	1.0
b1[4]	16.8	0.000764	0.137	16.6	16.8	17.1	32081.0	372.0	1.0
b1[5]	12.7	0.000764	0.137	12.4	12.7	13.0	32081.0	372.0	1.0
b1[6]	4.46	0.000764	0.137	4.18	4.46	4.71	32081.0	372.0	1.0
b1[7]	0.33	0.000764	0.137	0.0494	0.329	0.588	32081.0	372.0	1.0
b1[8]	23.0	0.000764	0.137	22.7	23.0	23.3	32081.0	372.0	1.0
b1[9]	23.0	0.000764	0.137	22.7	23.0	23.3	32081.0	372.0	1.0
b1[10]	27.1	0.000764	0.137	26.9	27.1	27.4	32081.0	372.0	1.0
b1[11]	10.6	0.000764	0.137	10.4	10.6	10.9	32081.0	372.0	1.0
b1[12]	0.33	0.000764	0.137	0.0494	0.329	0.588	32081.0	372.0	1.0
b1[13]	21.0	0.000764	0.137	20.7	21.0	21.2	32082.0	372.0	1.0
b1[14]	12.7	0.000764	0.137	12.4	12.7	13.0	32081.0	372.0	1.0
b1[15]	0.33	0.000764	0.137	0.0494	0.329	0.588	32081.0	372.0	1.0
a1[1]	0.0334	2.11e-05	0.00315	0.0271	0.0334	0.0395	22293.0	258.0	1.0
a1[2]	0.562	6.69e-05	0.0111	0.538	0.562	0.582	27630.0	320.0	1.0
a1[3]	0.0227	9.95e-06	0.00216	0.0184	0.0226	0.0268	47021.0	545.0	1.0
a1[4]	0.017	1.05e-05	0.00158	0.0139	0.017	0.0201	22582.0	262.0	1.0
a1[5]	0.0334	2.11e-05	0.00315	0.0271	0.0334	0.0395	22293.0	258.0	1.0
a1[6]	0.243	7.39e-05	0.0111	0.22	0.243	0.263	22671.0	263.0	1.0
a1[7]	0.562	6.69e-05	0.0111	0.538	0.562	0.582	27630.0	320.0	1.0
a1[8]	0.0142	5.57e-06	0.00101	0.0121	0.0141	0.0161	32594.0	378.0	1.0
a1[9]	0.0142	5.57e-06	0.00101	0.0121	0.0141	0.0161	32594.0	378.0	1.0
a1[10]	0.0227	9.95e-06	0.00216	0.0184	0.0226	0.0268	47021.0	545.0	1.0
a1[11]	0.0527	3.08e-05	0.0046	0.0435	0.0526	0.0615	22282.0	258.0	1.0
a1[12]	0.562	6.69e-05	0.0111	0.538	0.562	0.582	27630.0	320.0	1.0
a1[13]	0.0133	6.25e-06	0.00101	0.0113	0.0133	0.0153	26053.0	302.0	1.0
a1[14]	0.0334	2.11e-05	0.00315	0.0271	0.0334	0.0395	22293.0	258.0	1.0
a1[15]	0.562	6.69e-05	0.0111	0.538	0.562	0.582	27630.0	320.0	1.0
sigma_pr[1]	1.0		2.5e-14	1.0	1.0	1.0			
sigma_pr[2]	1.0		2.5e-14	1.0	1.0	1.0			
sigma_pr[3]	1.1	0.00828	1.32	0.026	0.758	3.95	25471.0	295.0	1.0
sigma_pr[4]	1.09	0.00761	1.25	0.024	0.756	3.81	26938.0	312.0	1.0
theta_pr2[1,1]	-0.0138		1.9e-15	-0.0138	-0.0138	-0.0138			
theta_pr2[1,2]	-1.25		1.07e-13	-1.25	-1.25	-1.25			
theta_pr2[1,3]	1.43		9.75e-14	1.43	1.43	1.43			
theta_pr2[1,4]	0.399		3.44e-14	0.399	0.399	0.399			
theta_pr2[1,5]	-0.0138		1.9e-15	-0.0138	-0.0138	-0.0138			
theta_pr2[1,6]	-0.839		7.33e-14	-0.839	-0.839	-0.839			
theta_pr2[1,7]	-1.25		1.07e-13	-1.25	-1.25	-1.25			
theta_pr2[1,8]	1.02		3.69e-14	1.02	1.02	1.02			
theta_pr2[1,9]	1.02		3.69e-14	1.02	1.02	1.02			
theta_pr2[1,10]	1.43		9.75e-14	1.43	1.43	1.43			
theta_pr2[1,11]	-0.22		1.3e-14	-0.22	-0.22	-0.22			
theta_pr2[1,12]	-1.25		1.07e-13	-1.25	-1.25	-1.25			
theta_pr2[1,13]	0.811		7.85e-14	0.811	0.811	0.811			
theta_pr2[1,14]	-0.0138		1.9e-15	-0.0138	-0.0138	-0.0138			
theta_pr2[1,15]	-1.25		1.07e-13	-1.25	-1.25	-1.25			
theta_pr2[2,1]	-1.22		1.7e-13	-1.22	-1.22	-1.22			
theta_pr2[2,2]	0.826		9e-16	0.826	0.826	0.826			
theta_pr2[2,3]	1.45		1.68e-13	1.45	1.45	1.45			
