	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
a1[98]	0.068	0.0833	0.118	1.03e-06	1.88e-06	0.277	2.0	0.000775	58.5
a1[99]	0.0142	0.000295	0.00142	0.0116	0.0139	0.0173	23.1	0.00893	1.05
a1[100]	0.0247	0.0302	0.0427	1.09e-05	1.86e-05	0.102	2.0	0.000775	36.7
a1[101]	0.0142	0.000295	0.00142	0.0116	0.0139	0.0173	23.1	0.00893	1.05
a1[102]	0.0148	0.0181	0.0256	3.24e-05	5.31e-05	0.0611	2.0	0.000775	31.9
a1[103]	0.0415	0.0508	0.0718	3.46e-06	6.11e-06	0.17	2.0	0.000775	44.7
a1[104]	0.00927	0.0112	0.0158	9e-05	0.000142	0.038	2.0	0.000775	29.2
a1[105]	0.106	0.129	0.183	2.84e-07	5.39e-07	0.428	2.0	0.000775	83.8
a1[106]	0.0148	0.0181	0.0256	3.24e-05	5.31e-05	0.0611	2.0	0.000775	31.9
a1[107]	0.0148	0.0181	0.0256	3.24e-05	5.31e-05	0.0611	2.0	0.000775	31.9
a1[108]	0.00492	0.00505	0.00715	0.000574	0.000847	0.018	2.0	0.000776	25.4
a1[109]	0.0415	0.0508	0.0718	3.46e-06	6.11e-06	0.17	2.0	0.000775	44.7
a1[110]	0.00492	0.00505	0.00715	0.000574	0.000847	0.018	2.0	0.000776	25.4
a1[111]	0.0247	0.0302	0.0427	1.09e-05	1.86e-05	0.102	2.0	0.000775	36.7
a1[112]	0.0247	0.0302	0.0427	1.09e-05	1.86e-05	0.102	2.0	0.000775	36.7
a1[113]	0.00871	0.0014	0.0021	0.00593	0.00795	0.0124	2.26	0.000875	2.78
a1[114]	0.0397	0.00663	0.00988	0.0226	0.0432	0.0522	2.22	0.000858	3.02
a1[115]	0.00492	0.00505	0.00715	0.000574	0.000847	0.018	2.0	0.000776	25.4
a1[116]	0.0247	0.0302	0.0427	1.09e-05	1.86e-05	0.102	2.0	0.000775	36.7
a1[117]	0.00587	0.00255	0.00364	0.00288	0.00398	0.0125	2.03	0.000784	8.37
a1[118]	0.0247	0.0302	0.0427	1.09e-05	1.86e-05	0.102	2.0	0.000775	36.7
a1[119]	0.00492	0.00505	0.00715	0.000574	0.000847	0.018	2.0	0.000776	25.4
a1[120]	0.00492	0.00505	0.00715	0.000574	0.000847	0.018	2.0	0.000776	25.4
