	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
a2[138]	0.366	0.00145	0.155	0.0728	0.368	0.648	11453.0	0.0489	1.0
a2[139]	0.0797	0.00072	0.0642	0.0218	0.0593	0.242	7947.0	0.0339	1.0
a2[140]	0.271	0.000965	0.122	0.0776	0.259	0.517	15911.0	0.0679	1.0
a2[141]	0.519	0.00481	0.252	0.0146	0.586	0.86	2741.0	0.0117	1.0
a2[142]	0.0483	0.00063	0.0487	0.0128	0.0345	0.167	5971.0	0.0255	1.0
a2[143]	0.108	0.00104	0.0996	0.0138	0.0707	0.364	9126.0	0.0389	1.0
a2[144]	0.0644	0.000692	0.0616	0.0105	0.045	0.22	7924.0	0.0338	1.0
a2[145]	0.0956	0.00102	0.0975	0.00951	0.0586	0.352	9050.0	0.0386	1.0
c1[1]	0.0234	0.000199	0.0261	1.94e-05	0.014	0.0889	17153.0	0.0732	1.0
c1[2]	0.0572	0.000507	0.0507	0.000101	0.0457	0.175	9993.0	0.0426	1.0
c1[3]	0.0994	0.000563	0.0568	0.00105	0.0987	0.209	10200.0	0.0435	1.0
c1[4]	0.021	0.000174	0.0242	1.43e-05	0.0123	0.0811	19298.0	0.0824	1.0
c1[5]	0.00628	7.03e-05	0.00921	1.97e-06	0.00257	0.0312	17168.0	0.0733	1.0
c1[6]	0.0819	0.000256	0.0333	0.0244	0.0783	0.152	16900.0	0.0721	1.0
c1[7]	0.0243	0.000126	0.0173	0.000788	0.021	0.0642	18988.0	0.081	1.0
c1[8]	0.0436	0.000256	0.0331	0.000799	0.037	0.119	16702.0	0.0713	1.0
c1[9]	0.113	0.00184	0.113	2.19e-05	0.0703	0.341	3736.0	0.0159	1.0
c1[10]	0.0281	0.000191	0.0264	0.000155	0.0209	0.0925	19077.0	0.0814	1.0
c1[11]	0.0213	0.000166	0.0228	1.35e-05	0.0141	0.0769	18884.0	0.0806	1.0
c1[12]	0.0941	0.00074	0.0857	0.000129	0.0728	0.287	13389.0	0.0571	1.0
c1[13]	0.00875	9.94e-05	0.0132	7.26e-07	0.00311	0.045	17616.0	0.0752	1.0
c1[14]	0.187	0.000463	0.0566	0.0793	0.185	0.297	14932.0	0.0637	1.0
c1[15]	0.233	0.0013	0.116	0.00226	0.243	0.433	7961.0	0.034	1.0
c1[16]	0.00518	5.53e-05	0.00752	1.93e-06	0.00226	0.0254	18505.0	0.079	1.0
c1[17]	0.157	0.000992	0.0955	0.00274	0.15	0.347	9264.0	0.0395	1.0
c1[18]	0.0895	0.00108	0.105	4.15e-05	0.0474	0.357	9438.0	0.0403	1.0
c1[19]	0.00657	7.42e-05	0.0097	1.55e-06	0.00272	0.032	17098.0	0.073	1.0
c1[20]	0.126	0.000313	0.0393	0.0541	0.124	0.207	15734.0	0.0671	1.0
c1[21]	0.0139	0.000187	0.0203	1.82e-06	0.00517	0.0685	11795.0	0.0503	1.0
c1[22]	0.00643	7.41e-05	0.00945	2.59e-06	0.00278	0.0315	16237.0	0.0693	1.0
c1[23]	0.017	0.00016	0.0199	4.96e-06	0.00984	0.0665	15431.0	0.0659	1.0
c1[24]	0.0464	0.000261	0.0304	0.000512	0.043	0.112	13549.0	0.0578	1.0
c1[25]	0.0168	0.000149	0.0209	1.32e-05	0.00903	0.0709	19483.0	0.0831	1.0
c1[26]	0.0175	0.000155	0.0221	5.19e-06	0.00898	0.0756	20346.0	0.0868	1.0
c1[27]	0.132	0.000617	0.06	0.00449	0.131	0.25	9451.0	0.0403	1.0
c1[28]	0.187	0.00097	0.102	0.00285	0.19	0.375	11004.0	0.047	1.0
c1[29]	0.011	0.000105	0.0145	3.56e-06	0.00525	0.0489	19266.0	0.0822	1.0
