	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
L[4,4]	0.791	0.000827	0.0548	0.673	0.792	0.889	4391.0	0.382	1.0
L[4,5]	0.0		0.0	0.0	0.0	0.0			
L[4,6]	0.0		0.0	0.0	0.0	0.0			
L[4,7]	0.0		0.0	0.0	0.0	0.0			
L[5,1]	-0.0102	0.000862	0.0729	-0.16	-0.00971	0.127	7146.0	0.622	1.0
L[5,2]	0.0206	0.000866	0.0728	-0.129	0.0204	0.155	7054.0	0.614	1.0
L[5,3]	-0.241	0.00204	0.095	-0.431	-0.243	-0.0578	2163.0	0.188	1.0
L[5,4]	-0.235	0.00185	0.0993	-0.429	-0.237	-0.0437	2868.0	0.25	1.0
L[5,5]	0.925	0.000536	0.0309	0.853	0.928	0.975	3319.0	0.289	1.0
L[5,6]	0.0		0.0	0.0	0.0	0.0			
L[5,7]	0.0		0.0	0.0	0.0	0.0			
L[6,1]	0.0888	0.000997	0.0714	-0.0588	0.0897	0.224	5134.0	0.447	1.0
L[6,2]	-0.0289	0.000988	0.0722	-0.178	-0.0297	0.108	5341.0	0.465	1.0
L[6,3]	0.0169	0.00238	0.0992	-0.191	0.0175	0.197	1740.0	0.151	1.0
L[6,4]	0.206	0.00266	0.108	-0.0255	0.208	0.398	1640.0	0.143	1.0
L[6,5]	-0.0919	0.0016	0.0851	-0.261	-0.0925	0.07	2812.0	0.245	1.0
L[6,6]	0.949	0.000517	0.0261	0.882	0.953	0.986	2551.0	0.222	1.0
L[6,7]	0.0		0.0	0.0	0.0	0.0			
L[7,1]	0.15	0.00103	0.0784	-0.0136	0.151	0.296	5789.0	0.504	1.0
L[7,2]	-0.0983	0.000948	0.0752	-0.249	-0.0988	0.0452	6304.0	0.548	1.0
L[7,3]	-0.32	0.00235	0.0977	-0.514	-0.323	-0.13	1734.0	0.151	1.0
L[7,4]	0.0406	0.00234	0.103	-0.178	0.042	0.229	1935.0	0.168	1.0
L[7,5]	-0.0183	0.00166	0.09	-0.202	-0.018	0.15	2940.0	0.256	1.0
L[7,6]	0.272	0.00111	0.079	0.105	0.273	0.418	5042.0	0.439	1.0
L[7,7]	0.861	0.000897	0.0433	0.764	0.864	0.933	2327.0	0.202	1.0
b1[1]	18.7	0.0335	4.31	11.1	18.4	27.8	16552.0	1.44	1.0
b1[2]	5.11	0.00704	0.971	3.34	5.04	7.06	19016.0	1.65	1.0
b1[3]	15.3	0.0373	4.26	8.7	14.7	24.9	13034.0	1.13	1.0
b1[4]	9.8	0.0704	6.55	-1.05	9.28	23.3	8651.0	0.753	1.0
b1[5]	22.6	0.0322	4.41	14.4	22.3	31.5	18760.0	1.63	1.0
b1[6]	9.89	0.032	3.3	5.21	9.24	17.6	10627.0	0.924	1.0
b1[7]	21.2	0.0316	4.37	13.4	20.9	30.3	19129.0	1.66	1.0
b1[8]	10.9	0.0323	3.53	5.74	10.3	19.1	11971.0	1.04	1.0
b1[9]	9.58	0.0807	5.83	3.31	7.35	23.5	5231.0	0.455	1.0
b1[10]	16.1	0.0324	4.03	9.16	15.7	24.7	15517.0	1.35	1.0
b1[11]	14.4	0.0291	3.85	7.88	13.9	22.5	17532.0	1.53	1.0
b1[12]	14.5	0.0595	5.99	3.81	14.1	26.5	10131.0	0.881	1.0
b1[13]	10.6	0.0778	6.58	-0.606	10.1	23.9	7151.0	0.622	1.0
b1[14]	16.4	0.0549	5.71	6.53	16.1	28.1	10809.0	0.94	1.0
b1[15]	12.8	0.0833	6.67	2.05	12.8	25.9	6407.0	0.557	1.0
b1[16]	21.8	0.0319	4.33	13.9	21.5	30.9	18436.0	1.6	1.0
b1[17]	12.5	0.0467	4.95	4.45	11.9	22.9	11240.0	0.978	1.0
b1[18]	15.3	0.0638	5.95	4.67	14.9	27.3	8718.0	0.758	1.0
b1[19]	18.1	0.0303	4.01	11.0	17.7	26.3	17535.0	1.53	1.0
b1[20]	6.25	0.0211	1.84	3.77	5.89	10.5	7617.0	0.663	1.0
b1[21]	-1.55	0.0496	2.51	-4.97	-1.75	1.86	2572.0	0.224	1.0
b1[22]	12.3	0.0201	2.63	7.6	12.0	17.8	17185.0	1.49	1.0
b1[23]	17.9	0.0322	4.24	10.6	17.5	26.8	17294.0	1.5	1.0
b1[24]	12.6	0.0347	3.95	6.35	12.1	21.2	12995.0	1.13	1.0
b1[25]	18.6	0.0357	4.44	10.7	18.3	27.7	15465.0	1.35	1.0
b1[26]	18.8	0.0399	5.12	9.8	18.4	29.3	16484.0	1.43	1.0
b1[27]	8.36	0.0455	4.02	3.64	7.17	18.5	7817.0	0.68	1.0
b1[28]	7.5	0.0491	4.56	1.71	6.45	18.2	8653.0	0.753	1.0
b1[29]	21.6	0.0354	4.43	13.6	21.2	30.8	15692.0	1.37	1.0
b1[30]	10.8	0.0745	6.52	0.789	10.3	24.2	7678.0	0.668	1.0
b1[31]	10.1	0.0744	6.78	-1.54	9.88	23.4	8288.0	0.721	1.0
b1[32]	9.24	0.0806	6.38	-1.84	8.62	22.6	6266.0	0.545	1.0
b1[33]	6.26	0.0344	2.33	3.49	5.79	11.9	4562.0	0.397	1.0
b1[34]	13.5	0.0198	2.71	8.73	13.2	19.1	18701.0	1.63	1.0
b1[35]	15.8	0.0665	6.15	4.0	15.8	27.8	8535.0	0.742	1.0
b1[36]	23.5	0.0331	4.49	15.1	23.2	32.6	18460.0	1.61	1.0
b1[37]	22.5	0.0324	4.36	14.5	22.3	31.4	18186.0	1.58	1.0
b1[38]	9.3	0.0834	6.72	-2.59	8.88	23.0	6504.0	0.566	1.0
b1[39]	0.898	0.0219	2.02	-2.92	0.825	4.73	8464.0	0.736	1.0
b1[40]	7.54	0.0508	4.04	3.05	6.33	18.4	6332.0	0.551	1.0
b1[41]	13.4	0.0416	4.56	6.4	12.6	23.4	11995.0	1.04	1.0
b1[42]	13.0	0.0975	7.6	-0.831	13.0	27.4	6066.0	0.528	1.0
b1[43]	16.3	0.0323	4.07	9.48	15.8	25.0	15867.0	1.38	1.0
b1[44]	13.3	0.0259	3.29	7.8	12.9	20.3	16143.0	1.4	1.0
b1[45]	9.16	0.0179	2.2	5.6	8.88	14.0	15120.0	1.32	1.0
b1[46]	11.5	0.112	7.51	1.13	11.2	26.1	4478.0	0.389	1.0
b1[47]	13.6	0.0655	6.24	2.29	13.3	26.0	9081.0	0.79	1.0
b1[48]	7.4	0.108	6.77	0.269	4.52	22.9	3899.0	0.339	1.0
b1[49]	16.3	0.0317	4.06	9.43	15.9	24.8	16393.0	1.43	1.0
b1[50]	11.3	0.0197	2.51	7.08	11.1	16.8	16298.0	1.42	1.0
b1[51]	14.1	0.0712	6.4	2.43	13.8	26.5	8072.0	0.702	1.0
b1[52]	17.9	0.0973	7.57	0.934	18.1	31.8	6050.0	0.526	1.0
b1[53]	8.75	0.0455	4.18	3.61	7.6	18.9	8417.0	0.732	1.0
b1[54]	12.1	0.0414	4.52	4.94	11.5	22.0	11953.0	1.04	1.0
b1[55]	12.0	0.0325	3.64	6.61	11.3	20.3	12498.0	1.09	1.0
b1[56]	7.99	0.0159	1.88	4.98	7.72	12.2	14070.0	1.22	1.0
b1[57]	22.4	0.0375	4.96	13.3	22.1	32.6	17531.0	1.53	1.0
b1[58]	18.3	0.0451	5.33	9.25	17.7	29.4	13956.0	1.21	1.0
b1[59]	11.6	0.0701	6.0	3.52	10.5	24.5	7321.0	0.637	1.0
b1[60]	11.6	0.0702	5.95	2.35	11.0	23.9	7171.0	0.624	1.0
b1[61]	13.7	0.0821	6.73	1.36	13.6	26.7	6720.0	0.585	1.0
b1[62]	14.4	0.0441	4.81	7.03	13.7	25.0	11932.0	1.04	1.0
b1[63]	12.4	0.0882	6.84	1.73	12.2	25.8	6002.0	0.522	1.0
b1[64]	10.9	0.0949	7.37	-0.455	10.6	25.2	6029.0	0.524	1.0
b1[65]	17.8	0.0298	3.91	10.8	17.5	26.0	17260.0	1.5	1.0
b1[66]	16.8	0.0516	5.42	6.96	16.4	27.7	11037.0	0.96	1.0
b1[67]	13.3	0.0226	2.97	8.31	13.0	19.6	17357.0	1.51	1.0
b1[68]	14.6	0.0798	6.99	1.2	14.5	27.9	7682.0	0.668	1.0
b1[69]	8.19	0.0484	3.77	3.99	7.07	18.3	6078.0	0.529	1.0
b1[70]	10.8	0.0778	6.27	-0.779	10.4	23.4	6496.0	0.565	1.0
b1[71]	13.1	0.0748	6.61	1.18	13.0	25.8	7794.0	0.678	1.0
b1[72]	12.7	0.101	7.23	1.38	12.5	26.7	5173.0	0.45	1.0
b1[73]	10.9	0.108	7.53	-0.134	10.6	25.8	4888.0	0.425	1.0
b1[74]	11.5	0.0874	6.73	0.805	11.2	24.6	5935.0	0.516	1.0
b1[75]	19.0	0.0378	4.72	10.5	18.7	28.8	15596.0	1.36	1.0
b1[76]	16.9	0.0424	5.0	8.08	16.4	27.3	13890.0	1.21	1.0
