	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
a1[1,31]	0.0271	0.000883	0.05	0.000212	0.00722	0.16	3205.0	0.123	1.0
a1[1,32]	0.0237	0.000536	0.0329	0.00295	0.0136	0.0982	3777.0	0.144	1.0
a1[1,33]	0.0588	0.000859	0.0512	0.00807	0.0423	0.187	3561.0	0.136	1.0
a1[1,34]	0.0537	0.000179	0.0202	0.0256	0.0498	0.1	12694.0	0.485	1.0
a1[1,35]	0.0387	0.000157	0.0149	0.0186	0.0356	0.0743	9063.0	0.346	1.0
a1[1,36]	0.0683	0.000308	0.0318	0.0278	0.061	0.144	10691.0	0.409	1.0
a1[1,37]	0.102	0.000356	0.0377	0.0471	0.095	0.187	11258.0	0.43	1.0
a1[1,38]	0.124	0.00021	0.0247	0.0776	0.123	0.174	13863.0	0.53	1.0
a1[1,39]	0.0581	0.000172	0.0191	0.0296	0.055	0.101	12292.0	0.47	1.0
a1[1,40]	0.0483	0.000983	0.0668	0.00525	0.022	0.241	4626.0	0.177	1.0
a1[1,41]	0.163	0.000363	0.0429	0.0818	0.162	0.248	13937.0	0.533	1.0
a1[1,42]	0.0449	0.000432	0.0355	0.0123	0.0341	0.134	6737.0	0.258	1.0
a1[1,43]	0.158	0.000737	0.0688	0.0521	0.148	0.31	8726.0	0.334	1.0
a1[1,44]	0.0471	0.000277	0.0237	0.0187	0.0411	0.105	7296.0	0.279	1.0
a1[1,45]	0.0527	0.000512	0.0436	0.013	0.038	0.164	7238.0	0.277	1.0
a1[1,46]	0.154	0.000404	0.0442	0.0753	0.151	0.246	11959.0	0.457	1.0
a1[1,47]	0.0296	0.000201	0.0179	0.0115	0.0248	0.074	7887.0	0.301	1.0
a1[1,48]	0.108	0.000467	0.0483	0.0412	0.0979	0.219	10722.0	0.41	1.0
a1[1,49]	0.0675	0.00023	0.0216	0.0346	0.0641	0.117	8836.0	0.338	1.0
a1[1,50]	0.0199	0.000787	0.0444	0.000406	0.00514	0.133	3186.0	0.122	1.0
a1[1,51]	0.0729	0.000371	0.0326	0.0282	0.0665	0.149	7716.0	0.295	1.0
